nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japón,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Nauru,11947,20,Oceania
Vanuatu,327778,12189,Oceania
Austrália,26713205,7741220,Oceania
Mongolia,3493629,1564116,Asia
Vietnam,101343800,331210,Asia
China,1419321277,9598089,Asia
Rusia,143957079,17098242,Europa
Zimbabwe,15993524,390760,Africa
Egipto,106600000,1002450,Africa
Canadá,41288599,9984670,America
Bosnia y Herzegovina,3406568,51197,Europa
Grecia,10372000,131957,Europa
Cuba,10892659,110860,America
Nigeria,227882845,910770,Africa
Seychelles,99202,455,Africa